model,image_preprocessing_pipeline,view_type,lesion_type,pr_auc,sensitivity,precision,specificity,f1_score
VGG16,Baseline,Unified,Unified,0.5790951251983643,0.291304349899292,0.6907216310501099,0.7843137254901961,0.409785931528828
ResNet50,Baseline,Unified,Unified,0.6372023820877075,0.417391300201416,0.7272727489471436,0.7535014005602241,0.5303867427476255
DenseNet121,Baseline,Unified,Unified,0.484892874956131,0.5260869860649109,0.5020747184753418,0.5210084033613446,0.5138004542586818
MobileNetV2,Baseline,Unified,Unified,0.5134735107421875,0.321739137172699,0.540145993232727,0.2857142857142857,0.4032697622436996
EfficientNet-B0,Baseline,Unified,Unified,0.5927207469940186,0.2130434811115265,0.7313432693481445,0.6470588235294118,0.32996633193673136
